目录,题目类型,大题题干,难易度,,,,,,,
/中华文化通识教程 第七期,简答题,请认真阅读豆瓣贴子《深度工作》.《大学》中旨趣与之相通的句子是（         ）,易,庄生晓梦迷蝴蝶,,,,,,
/中华文化通识教程 第七期,简答题,《周易》有多少卦，您能写出几个么？（回答即参加积分，正确另加分）。,易,归思难收,,,,,,
/中华文化通识教程 第七期,简答题,【签到题】冯友兰先生将人生追求归纳为四重境界，是哪四重？你觉得自己现在处于哪一层？您有什么想说的？（签到题，时长一天）,易,飞鸿踏雪泥,,,,,,
/中华文化通识教程 第七期,简答题,【签到题之二】疫情沉思—请阅读以上帖子。大家一定以一流的水平要求自己。春光美好，好好陪家人，学会自学。一个人一辈子自学的时间总是比在学校学习的时间长，没有老师的时候总是比有老师的时候多。——华罗庚我不认为只有上大学、上名牌大学才能成才，这是多数家长痴迷的传统想法。自学是自己最好的大学，自学不但能成才而且能成大才。——比尔·盖茨时长1小时，留言即得分，可写读后感，也可写一些自己的“疫情沉思”。,易,两处闲愁,,,,,,
/中华文化通识教程 第七期,简答题,【签到题之二】疫情沉思请阅读以上帖子。大家一定以一流的水平要求自己。春光美好，好好陪家人，学会自学。一个人一辈子自学的时间总是比在学校学习的时间长，没有老师的时候总是比有老师的时候多。——华罗庚我不认为只有上大学、上名牌大学才能成才，这是多数家长痴迷的传统想法。自学是自己最好的大学，自学不但能成才而且能成大才。——比尔·盖茨请大家留言，可以写读后，也可以写自己的“疫情沉思”，时长一天。,易,汀上白沙看不见,,,,,,
/中华文化通识教程 第七期,简答题,【检查上周】难度题：冯友兰将人生追求归纳为四种境界，是哪四种？您觉得自己现在处于哪一层？您有什么想说的？,易,器,,,,,,
/中华文化通识教程 第七期,简答题,第一题《家园》观后（请观看《家园》的同学作答）,易,读书,,,,,,
/中华文化通识教程 第七期,简答题,【签到题】时效一天，没看的请看完再做。《中国通史》您选看了哪一集？请写随感，或者写出当集至少两个历史人物。,易,本,,,,,,
/中华文化通识教程 第七期,简答题,【签到题】时效一天，没看我完的请看完再做。《中国通史》您看了哪一集？请写随感，或者写出当集至少两个历史人物,易,恕,,,,,,
/中华文化通识教程 第七期,简答题,【签到题】（与上一道《中国通史》，选做一道即可。多做加分）《大国崛起》观后，可全部，也可就任意一集谈。时效三天。,易,民,,,,,,
/中华文化通识教程 第七期,简答题,【签到题～中国通史】  时效两天，没看完的请看完再做。《中国通史》与《大国崛起》可选一道做。  多做加分，优异加分。《中国通史》您看了哪一集？请写随感，或者写出当集至少两个历史人物。,易,中国通史,,,,,,
/中华文化通识教程 第七期,简答题,万丈红尘扰壤俗世中，你是如何安顿生命的？,易,魂,,,,,,
/中华文化通识教程 第七期,简答题,标题：儒家“内圣外王”的典型中，你最敬服谁？简述理由。,易,无,,,,,,
/中华文化通识教程 第七期,简答题,评曾国藩杀金松龄（可兼评“曾剃头”湖南时期的“乱世用重典”）,易,五弦,,,,,,
/中华文化通识教程 第七期,简答题,"请结合今年的疫情，谈谈中国优秀传统文化的各种核心理念在国人身上的体现。（100分）
要求：
  1. 结合疫情实际，阐明自己的观点，不能抄袭。
  2. 字数600字左右。
",易,太极,,,,,,
/中华文化通识教程 第七期,简答题,漫谈“无用之用”,易,君子坦荡荡,,,,,,
/中华文化通识教程 第七期,简答题,前测：说说您对儒家文化的了解,易,薄责于人,,,,,,
/中华文化通识教程 第七期,简答题,《家园》观后,易,文质彬彬,,,,,,
/中华文化通识教程 第七期,简答题,"
请您如实回答：
假期是否有预习活动，比如：阅读资料库的内容、观看纪录片、阅读经典等等？
",易,无为,,,,,,
/中华文化通识教程 第七期,简答题,"请详细介绍自己寒假预习的内容。
建议写读后、观后，或者上传笔记
",易,美言不信,,,,,,
/中华文化通识教程 第七期,简答题,"请详细介绍自己寒假预习的内容。
建议写读后、观后，或者上传笔记题干",易,反者道之动,,,,,,
/中华文化通识教程 第七期,简答题,"请详细介绍自己寒假拓展学习的内容
建议写写读后、观后，或者上传笔记、讨论截图。",易,心性,,,,,,
/中华文化通识教程 第七期,其它,"翻转主题报告与本学期书面作业要求：
  本课程在学习“以史为鉴----历史的星空”专题时，将采取翻转式教学模式，让同学们自行学习探究，并以主题报告的形式提交学习成果。
  请大家任选一位著名的历史学家（古今中外均可），介绍其生平和思想，并对其主要史学观点进行述评。
 主题报告的撰写以小组为单位进行，报告成果以PPT的形式展示。请各班班长学委及时将本班同学按四人一组分成小组，小组成员分工合作，完成任务。
 各小组请及时在学习通上以附件的形式提交报告。
 【三问三答、思维导图、文献阅读，底院如有统一要求，请涵盖在内】   这是本学期唯一的一次书面作业，计入课程成绩。请同学们认真完成，禁止抄袭。
 参考文献请同学们到课程“资料”文件夹下《历史专题资料集锦》中自由选择。
",难,道,,,,,,
/中华文化通识教程 第七期,其它,"
翻转主题报告与本学期书面作业要求：
  各位同学：
  本课程在学习“以史为鉴----历史的星空”专题时，将采取翻转式教学模式，让同学们自行学习探究，并以主题报告的形式提交学习成果。
  请大家任选一位著名的历史学家（古今中外均可），介绍其生平和思想，并对其主要史学观点进行述评。
 主题报告的撰写以小组为单位进行，报告成果以PPT的形式展示。请各班班长学委及时将本班同学按四人一组分成小组，小组成员分工合作，完成任务。
 各小组请及时在学习通上以附件的形式提交报告。
 这是本学期唯一的一次书面作业，计入课程成绩。请同学们认真完成，禁止抄袭。
 参考文献请同学们到课程“资料”文件夹下《历史专题资料集锦》中自由选择。
",易,至善,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,简答题,课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》等等……因为工作繁忙，不要求您快速读完。考虑一下您打算读哪本，查阅一下相关材料，介绍一下这部原典。,易,水在瓶,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,简答题,没有原典阅读的通识课程是空洞的。我们这门课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》、《红楼梦》等等……因您马上面临繁忙的工作，不要求您快速读完。请考虑您打算读哪本，查阅相关材料，简要介绍这部原典。因这道题，给大家留下充分的答题时间，请仔细查阅、了解。,易,己欲达而达人,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,论述题,"任选一道题作答阅读·思考·评论1.阅读以下片段 子曰：“富与贵，是人之所欲也，不以其道得之，不处也。贫与贱，是人之所恶也，不以其道得之，不去也。”《论语·里仁》 子曰：“贤哉，回也！一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐，贤哉，回也！”《论语·雍也》 子曰：“饭疏食，饮水，曲肱而枕之，乐亦在其中矣。不义而富且贵，于我如浮云。” 《论语·述而》 您如何看待“孔颜之乐”？（您有“衣敝缊袍，与衣狐貉者立”穿着破旧粗糙的衣服，与衣着华美的人站在一起的经历么？请真诚地谈一谈您对于贫富的看法，不要拘束，不说假话，也谈谈“孔颜之乐”对您的启示。）2.阅读以下片段 俺曾见金陵玉殿莺啼晓，秦淮水榭花开早， 谁知容易冰消。 眼看他起高楼，眼看他宴宾客， 眼看他楼塌了。 这青苔碧瓦堆，俺曾睡风流觉， 将五十年兴亡看饱。 以上是《桃花扇·哀江南》的一段唱词，您读后有何思考？ 3. 阅读以下片段 盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》；孙子膑脚，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》；《诗》三百篇，大底圣贤发愤之所为作也。 以上选自司马迁《报任安书》，即著名的“发愤著书”说，可结合历史或现实社会生活谈谈自己的启发。 4.联合国秘书长潘基文获得第二届连任发表演说时，援引老子“天之道，利而不害，为而不争”,强调应将这不朽的智慧应用到今天的工作中。对此，您有何感想或启发？ ",易,君子坦荡荡,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,简答题,结课感想……,易,守其雌,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,简答题,课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》等等……因为工作繁忙，不要求您快速读完。考虑一下您打算读哪本，查阅一下相关材料，介绍一下这部原典。,易,,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,简答题,没有原典阅读的通识课程是空洞的。我们这门课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》、《红楼梦》等等……因您马上面临繁忙的工作，不要求您快速读完。请考虑您打算读哪本，查阅相关材料，简要介绍这部原典。因这道题，给大家留下充分的答题时间，请仔细查阅、了解。,易,,,,,,,
